Rating,Review Title,Review,TextBlob Score,TextBlob Sentiment,VADER Score,VADER Sentiment
5 review-rating,"Gildan Men's Crew T-Shirt Multipack: Your Go-To Tees in Navy, Charcoal, and Red!","Looking for the perfect blend of comfort, style, and value? Say hello to the Gildan Men's Crew T-Shirt Multipack in Navy/Charcoal/Red. Whether you're stocking up on basics or upgrading your wardrobe, these tees are a solid choice.

Color Variety: Navy, Charcoal, and Red—this multipack covers all the bases. From classic to bold, you've got options to match any outfit or mood. Mix and match or go monochrome; these tees have you covered.

Soft and Comfortable: Slip into these tees, and you'll feel the difference. They're crafted from soft cotton that's breathable and easy on the skin, perfect for all-day wear whether you're lounging or on the move.

Roomy Fit: The XX-Large size offers plenty of room without feeling boxy. It's like wearing your favorite tee straight out of the pack—comfortable, relaxed, and ready for whatever the day throws at you.

Durable Quality: Gildan doesn't mess around when it comes to durability. These tees are built to last, wash after wash. They hold their shape and color, so you can count on them to look great no matter how often you wear them.

Versatile Wardrobe Staple: From casual weekends to layering under jackets or hoodies, these crew neck tees do it all. They're versatile enough for any occasion, whether you're chilling at home or heading out with friends.

Affordable Pack: Five tees for the price? That's a steal! Gildan gives you quality without breaking the bank, making this multipack a smart investment in your everyday wardrobe.

Overall: Gildan Men's Crew T-Shirt Multipack ticks all the boxes: comfort, style, and value. With a range of colors and a comfy fit, these tees are sure to become your new favorites.",0.21092241092241096,Positive,0.9947,Positive
5 review-rating,"The Perfect Everyday T-Shirt – Comfort, Quality, and Value","I’m always on the lookout for basic, comfortable T-shirts that can stand up to everyday wear, and the Gildan Men's Crew T-Shirts (Style G1100) have exceeded my expectations. This multipack offers everything I need in a classic crew neck tee.

Comfortable Fit: These shirts are incredibly soft and comfortable. The fabric is lightweight yet durable, making them perfect for layering or wearing on their own. The fit is just right—not too tight, not too loose—providing a relaxed feel without looking sloppy.

Quality Material: The cotton material feels high-quality, and after several washes, the shirts have held up great with no noticeable shrinkage, fading, or loss of shape. The stitching is solid, and the collars stay flat without curling, which is a big plus.

Versatile and Practical: Whether I’m lounging at home, working out, or running errands, these T-shirts are versatile enough to suit any activity. They also work well as undershirts, providing a smooth layer under dress shirts.

Great Value: The multipack offers fantastic value for money. Getting multiple high-quality shirts at such an affordable price is a deal that’s hard to beat. I also appreciate the range of colors available, which makes it easy to stock up on essentials.

Reliable Brand: Gildan is a brand I trust for basic apparel, and these T-shirts are a prime example of why. They deliver consistent quality at an excellent price point.

If you’re looking for a reliable, comfortable, and affordable T-shirt for daily wear, I highly recommend the Gildan Men's Crew T-Shirts. They’re a staple in my wardrobe, and I’m confident they’ll become a go-to in yours as well.",0.23605820105820108,Positive,0.9947,Positive
5 review-rating,Fast shipping and exactly what I ordered.,"These are plain white shirts that fit perfect. I'm a welder and constantly burn holes so I buy shirts in bulk and these hit the spot. There thin and very cool in summer in hot factory. There so cheap I love it. Walmart wants like $5 a shirt and you get 12 of these sucker's for the price I paid, definitely can't go wrong buying these. After first wash in gain they are lovely soft and comfortable. These should hold up a few months for me but you'll probably have them for years as I burn them up welding. 100% recommend these. Happy customer 😃",0.19161654135338346,Positive,0.9752,Positive
4 review-rating,"Good quality,extremely comfortable lightweight tees","These are considered undershirts because they are not thick and heavy but even though they are thin you can wear them out if you don't mind people seeing underneath a little.I will say they are incredibly soft and comfortable and fit well after being washed once.The price is reasonable for a 6 pack.No tags!!!I tried a 4 pack of hanes before these and couldn't believe they had tags and were also crap,after one washing of 1 of them the neck was all outta shape and they didn't look quite white anymore so they went back.You should be happy with these.",0.1611111111111111,Positive,0.9563,Positive
5 review-rating,Fits Great !!,This is a perfect T-shirt! It’s not too thin nor is it too heavy. It will definitely shrink but not enough so that you can’t wear it! I ordered an XXL which is just a little large. So when washed it shrunk to my size. It’s very sturdy for everyday use! It also a terrific money saver.,0.03767857142857143,Positive,0.8491,Positive
5 review-rating,Men’s round neck tee shirt's,"Am I shocked that these T shirts have so many reviews? NO! They are awesome! This is the second time I’ve ordered them this year. And yes, “I’ve got white and mixed round necked ones”, so I’m all set. They’re soft and comfy, wash up nicely, come out of dryer looking great and fit perfectly! So worth the price 🥰",0.24375,Positive,0.9588,Positive
5 review-rating,Comfortable gym shirt,"I was looking for set of affordable, good quality, t-shirts that I could use at the gym. These Gildan t-shirts are perfect for me. I'm 5'6 and 150 lbs with an athletic build. I wear a medium and I find the fit perfect. They do shrink a tiny bit. I like the colors and will definitely buy more.",0.5142857142857143,Positive,0.9517,Positive
4 review-rating,A bit disapointed,"I give the shirts between a 3 and a 4. To be fair I will say the shirts are soft and their color seems to remain bright after washing. Also, the sizing seems consistent with other T-shirts that I own. If you read this far you're probably wondering, so, why did I drop a Star? Well, I like the neck to be ""snug"". I know. It takes extra stitching to do that, not something I should expect with 5 shirts at that price. They're fine at first-wearing but not as snug after a wash. Otherwise, they are still a great value.",0.3541666666666667,Positive,0.9241,Positive
5 review-rating,At $5/shirt it's hard to beat!,"These are perfectly functional and semi-robust black t-shirts. At $5.50 each I can rotate between them as my default everyday shirts when I'm not wearing anything fancier, don't even have to think about it. If I had to describe them it would be medium-thin thickness and comfy.

In the sun, they do eventually fade. After about six months of being out in the sun every day for 2 hours soaked with my sweat, my exercise shirt is half faded to dirty brown and I retire it to being a rag and replace it. Which is fine, it's a $5 shirt.

They're fairly resilient for t-shirts - I've only had one rip once and that was something nasty enough to break all my ribs on that side! At which point I can't blame the shirt for ripping. I use them for biking, running, fishing, you name it. After about two years of normal use I retire even the non-exercise shirts and just get another bundle, no fuss no muss.",0.012121212121212126,Positive,-0.4864,Negative
4 review-rating,Great! With 2 caveats,"You don’t get to 300k reviews with an average 4.5 stars unless it is earned. The shirts are great and an amazing value. Here are my two comments on what to know that is not ideal for everyone.

1. The shirts are long. They might be ideal for people who are not just tall but specifically long waisted. They are too long for most people.

2. The neck hole is a little small. Not enough to turn me off to the shirt but a 1/2 inch larger diameter would be a huge improvement and should not turn off people who like a snug feel.

Both issues are very annoying for me and really complicate me feeling about these shirts. A solution might be a relaxed fit version that addresses both issues in a second option.",0.08958333333333332,Positive,0.9671,Positive
5 review-rating,Fit perfectly after a wash 😂,"So I have an issue with shirts like this ones. If I get Large, they fit ok but once I get wash them they are too tight. This time I got X-Large, thinking they would fit better. So I put it on and it was a bit too long by like 2 inches. I had the great idea of washing them on hot water and drying them for like 80 mins. Now they fit perfectly and won’t shrink anymore. I am completely satisfied, will probably buy another set of 6 just to have my favorite black shirt all the time.",0.36207482993197276,Positive,0.9915,Positive
5 review-rating,I’ve never went wrong buying the Gildan brand,I’ve always bought these for my boys and girls and men in my life. I’ve also bought myself several for work. They hold up well when washed and last for a long time. I buy these for the boys who work in warehouses and out in the elements and the only thing they’ve said to me is when are you gonna buy me more lol Great for work and great for casual wear.,0.26111111111111107,Positive,0.9379,Positive
5 review-rating,It's magic! :),"This is the first time I really want to write a positive review.
My T-shirts took a long time to arrive, but they arrived!
I already forgot that I ordered them.
So their arrival came as a pleasant surprise.
As a result, the quality of the product is high and 100% cotton. I recommend!
The main thing is not to gain or lose weight by the time of delivery! ;)",0.25080492424242423,Positive,0.8384,Positive
4 review-rating,Fit as expected,"These fit the way I like T shirts to fit. Have the right amount of length so if they are tucked in, they do not pull out when arms are raised. Same when untucked. No belly shows when arms raised. Plenty of shoulder room and all around comfortable. Fabric was a mix, some 100% cotton, some were a blend.",0.29714285714285715,Positive,0.8225,Positive
5 review-rating,Excellent arm length!,"How many times have you bought a pack of undershirts, only to be disappointed because the sleeves are too short, and bunch up in your armpits? THE SLEEVES ON THESE SHIRTS ACTUALLY COME DOWN ENOUGH TO BE PARALLEL WITH YOUR CHEST! AWESOME! The material is a light cotton, which doesn't get enough love lately, what with active wear that has wicking/drying 'technology'. This purchase was quite a find. Thank you.",0.07579365079365079,Positive,0.6627,Positive
4 review-rating,I like them,"I like to wear t-shirts which is why I ordered these and wear them. The one thing that I find unfavorable is that these are not the thicker polo style t-shirts that I prefer. Still, they are hard to beat in price and quantity. So, putting preferences aside, I buy them.",-0.2916666666666667,Negative,0.2732,Positive
5 review-rating,Better than Hanes,"I bought 6 Gildans and 6 Hanes cottonsoft a little over a year ago. Couldn’t tell much difference at first but now when I take out of dryer to fold and pick one up I immediately know which one I have. The Gildan is superior in softness, weight and collar looks better.",0.2925,Positive,0.8625,Positive
5 review-rating,Great for plumbing work shirts,"I have a plumbing company and I purchased T-shirts to make work shirts for my staff. I had someone print our company logo on them and they worked great. Great quality, great field and very durable. I highly recommend anyone in the trades who’s looking to get their staff workshirts?",0.5520000000000002,Positive,0.9465,Positive
5 review-rating,Great value!,"Bought these black tees to wear on the outside plain, and it gets the job done. But I think that they are meant more to be undershirts. For a 6-pack though, extremely worth the purchase, really comfortable, and will last a long time. I would highly recommend these black tees for outside here!
---> https://amzn.to/4e5BQxR",0.0693073593073593,Positive,0.9129,Positive
5 review-rating,No longer disappointed!,"Update: have since bought these again because I’m a sucker for a white t shirt and you can never have too many. This time so far no mysterious random holes around the collars after washing, maybe it was my fault but anyhow, I love Gildan and have always been a fan! I recommend these

Normally I love all of Gildean’s shirt products, they are my go to for undershirts and plain tshirts due to their usually soft, durable, quality material. However getting a pack of 5 white tshirts recently from them, that’s I’ve only worn and washed a few times all have developed a hole/slit around the collars of the shirts where the collar attaches to the shirt right at the stitch line like it’s coming undone. This is the first time that’s happened to me with any kind of shirt I’ve had, and for it to happen to every single shirt and right at the stitch line I know it’s not a moth problem or washing machine user error. I like the shirts otherwise but didn’t even get a month and a half out of them",0.08041125541125542,Positive,0.9603,Positive
5 review-rating,When I tried this shirt on it felt great!,"I really like how the shirt isn't short like it's kind of long but not wide if that makes sense and it feels nice and there was a little room left so I wasn't feeling stuffed. I'm currently trying to lose weight but as of right now [I weigh 300 lb and I'm 5'9"" tall] and the shirts fit great! Also it was a great deal for 10 shirts!",0.29986263736263735,Positive,0.959,Positive
5 review-rating,"Good shirts, just know they shrink A LOT","These worked out well for my teen son. He's about 5'6"", 110 lbs and we got medium. They were huge when we opened them, but after being washed, they shrank about 3-4 inches! Worked for us, but just FYI. We had the smalls before, and its about 1.5"" longer.",0.24999999999999997,Positive,0.6995,Positive
5 review-rating,Sizing is right on the money,"This was a good buy for us. I would recommend one size larger than your normal, unless you like them tight. These are thinner than some but thick enough. Will buy again.",0.0619047619047619,Positive,0.5346,Positive
5 review-rating,Lightweight cotton,"I purchased these for my husband who has certain standards for his T-shirts and these meet them; comfortable, lightweight and do not pull through the shoulders. The only negative for me is a couple of the colors in the pack are the white/color blend that to me looks shabby. Still a good deal.",0.20285714285714285,Positive,0.5574,Positive
5 review-rating,I love these shirts,"I wear my shirts, and when I say wear, I mean wear. That's why I buy my shirts in a pack like this, since I have a longer torso most shirts after washing and drying are too short but these are perfect leaving me with about 2-4 inches below my belt line.",0.296875,Positive,0.7783,Positive
5 review-rating,Basic but great shirts,My fiance works 12 hour days and he says he likes these more than the other shirts he has. They're more breathable and likes that they aren't uncomfortable with excessive tags. Color stays after every wash. Wash when you get them. Like any company ever they also have the shipping smell.,0.025,Positive,0.8513,Positive
4 review-rating,Buen producto,Me gustó el material. Por el momento no se me han descolorido ni tampoco encoger. Me gustó el producto por el precio acordado,0.0,Neutral,-0.296,Negative
4 review-rating,Soft and comfortable,I'm skinny but they look really good on me and I wear them with my hoodie from Amazon they're really great inexpensive and worth the money I'd buy more,0.575,Positive,0.9411,Positive
5 review-rating,Great buy,"Bought these for my boyfriend for him to wear under his work shirt. They are very comfortable and soft he said. He wears one everyday he works. So far they have not stained or dulled in brightness, and I don't use bleach. Great buy.",0.264,Positive,0.6135,Positive
4 review-rating,Pretty good,"100% cotton and true to size. I like the color combo. The shirts are average weight, decent quantity. Ordered a size “medium “.",0.12222222222222222,Positive,0.6486,Positive
4 review-rating,Quality not consistent,I have bought a set of these shirts twice. The weight of the cotton on one order was much heavier than the other. Also one order had the label printed on the inside of the back while the other set had sewn in labels I had to cut out.,-0.012499999999999997,Negative,-0.2732,Negative
4 review-rating,Nice,"Very nice t shirts for the money. I got 2 gray, a red, a navy, and a black. Perfect weight and colirs to layer under his flannel shirts for fall weather.. havent wadhed yet so cant tell about shrinkage, if any.",0.4033333333333333,Positive,0.7778,Positive
5 review-rating,Comfy,"These were for my son with sensory issues & he loves them! He finds them breathable, soft & comfortable. True to size. He's on the thin/med build & 6'0"". He usually wears a medium shirt & these size medium fit perfectly",0.3333333333333333,Positive,0.9501,Positive
4 review-rating,Runs small,"Great looking shirts. I take an extra large, was what was ordered. These came in closer to a large then what I ordered. I kept them and passed them on to my neighbor.",0.3071428571428571,Positive,0.6249,Positive
4 review-rating,"good material ,,BUT","THE ITEM IS OFF A GOOD MATERIAL BUT FOR PERSSONEL REASON IT WAS A DISLIKE FOR ME BECAUSE THE CREW NECK PART OF THE SHIRT IS TOO LOW OFF THE NECK ,,THATS ALL",0.35,Positive,-0.6249,Negative
4 review-rating,Nice and comfortable,"My husband loves that they are loose and comfortable as well as decent quality, light weight and versatile. Nice colors too",0.29794871794871797,Positive,0.8625,Positive
5 review-rating,This is a really great buy!!,"Got these for my son ' he's big & tall! Got. An xl , it fitted loose & a little long' which is what he likes"" the quality is perfect! Very breathable! I will buy again!!",0.17936698717948718,Positive,0.7482,Positive
4 review-rating,not equal,Ordered the pack of t-shirts. Some seem to be made of different material than others. The collars on some of them are very loose and not form fitting around the neck.,0.13333333333333333,Positive,-0.3804,Negative
5 review-rating,Love these shirts,Shirts are very comfortable. Material is soft. Perfect thickness. I wear them to work everyday. Sizing seems to run a tiny bit large as they were slightly longer than expected but I actually love that.,0.2075132275132275,Positive,0.8872,Positive
4 review-rating,Son is satisfied and that's saying something,"I bought these for my son in hopes that they hadn't changed the way they were made because I had gotten some for Christmas two years ago and he had liked them. Let me explain that my son is on the spectrum and even at 22 he still has his preferences of course. I am just grateful that they hadn't changed anything except the size he prefers was not available so I had to get a size smaller. He wears these as a last resort when he hasn't done laundry but at least he will wear them. I highly recommend them, the quality is good and they are soft to the touch therefore really comfortable.",0.1622222222222222,Positive,0.9533,Positive
5 review-rating,Good Shirt & Fit,"I love using these t shirts for workout, The lenght is perfect & quality is very nice.
Order few set in the last 6 months & price is good as well",0.4633333333333334,Positive,0.9432,Positive
5 review-rating,Great t-shirts,I use to by Hanes or fruit of the loom but not anymore I only wear this brand now the cotton seems to be a better quality than the others. 👍👍,0.25,Positive,0.5267,Positive
5 review-rating,Great T-shirts for Tie-dyeing,I bought a different name brand (FotL) prior to purchasing these and they did not hold the color well. These shirts came out with stunning color after Tie-dyeing them. This is a great buy already but they are exceptional if you want to tie-dye them.,0.39333333333333337,Positive,0.6542,Positive
5 review-rating,Great Tee shirts,"I really like these Tee shirts. I use them for gym, and they are very soft. I like that they are not short. They keep there shape when washing and drying.",0.11,Positive,0.6794,Positive
5 review-rating,It's really good at absorbing sweat,"I wear these mostly when I go to the gym, and they did provide a good absorption when I sweat a lot, and they are comfortable to wear. Good product!",0.61875,Positive,0.8553,Positive
